dmv_entry_id,player_id,pass_number,year,date,tournament_id,tournament_name,location,category,place,rating_value,identity_status,source
DMV-080001,36844.0,36844.0,2017,2017-05-21,2017-05-21-Bielefeld_Sennestadt,"NBV-Landesliga I, 3. Spieltag",Dormagen,,,110.123,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080002,36844.0,36844.0,2017,2017-06-11,2017-06-11-Detmold,,,,,109.591,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080003,36844.0,36844.0,2017,2017-08-20,2017-08-20-Neheim_Hüsten,,,,,112.531,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080004,36853.0,36853.0,2017,2017-08-20,2017-08-20-Bad_Salzuflen,,,,,109.865,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080005,36853.0,36853.0,2017,2017-04-02,2017-04-02-Paderborn_Lieth,,,,,105.331,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080006,36853.0,36853.0,2017,2017-04-30,2017-04-30-Bad_Salzuflen,,,,,111.354,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080007,36853.0,36853.0,2017,2017-05-21,2017-05-21-Bielefeld_Sennestadt,"NBV-Landesliga I, 3. Spieltag",Dormagen,,,109.123,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080008,36853.0,36853.0,2017,2017-06-11,2017-06-11-Detmold,,,,,113.591,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080009,36853.0,36853.0,2017,2017-08-20,2017-08-20-Neheim_Hüsten,,,,,109.865,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080010,36853.0,36853.0,2017,2017-08-31,2017-08-31-Bochum_Langendreer,,,,,102.769,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080011,36856.0,36856.0,2017,2017-04-02,2017-04-02-Mönchengladbach,"NBV-Verbandsliga, 1. Spieltag",Mönchengladbach,,8.0,103.056,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080012,36856.0,36856.0,2017,2017-04-30,2017-04-30-Velbert_Hardenberg,,,,,102.113,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080013,36856.0,36856.0,2017,2017-05-21,2017-05-21-Halver_Halle,"NBV-Landesliga I, 3. Spieltag",Dormagen,,,105.549,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080014,36856.0,36856.0,2017,2017-06-11,2017-06-11-Bad_Salzuflen,,,,,107.482,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080015,36856.0,36856.0,2017,2017-08-20,2017-08-20-Büttgen,,,,,102.318,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080016,36867.0,36867.0,2017,2017-09-03,2017-09-03-Kempten_Steinbruch,15. Fun-Sports-Cup,Bamberg,,,109.942,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080017,36868.0,36868.0,2017,2017-04-30,2017-04-30-Murnau_See,,,,,107.678,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-080018,36868.0,36868.0,2017,2017-05-14,2017-05-14-Garmisch_Partenkirchen,,,,,104.886,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
