dmv_entry_id,player_id,pass_number,year,date,tournament_id,tournament_name,location,category,place,rating_value,identity_status,source
DMV-040001,5053.0,5053.0,2023,2023-05-21,2023-05-21-Lüttringhausen,,,,,109.513,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040002,5053.0,5053.0,2023,2023-06-11,2023-06-11-Witten_Herbede,,,,,109.748,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040003,5053.0,5053.0,2023,2023-09-02,2023-09-02-Lüttringhausen,,,,,111.147,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040004,5056.0,5056.0,2023,2023-04-09,2023-04-09-Landshut,41. Landshuter Krügerlturnier,Landshut,,21.0,108.679,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040005,5056.0,5056.0,2023,2023-08-06,2023-08-06-Landshut,11. Oachkatzl-Cup,Landshut,,14.0,104.526,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040006,5081.0,5081.0,2023,2023-04-09,2023-04-09-Landshut,41. Landshuter Krügerlturnier,Landshut,,9.0,111.012,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040007,5081.0,5081.0,2023,2023-04-16,2023-04-16-Ingolstadt_Baggersee,,,,,114.299,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040008,5081.0,5081.0,2023,2023-04-23,2023-04-23-Ingolstadt_Auwaldsee,,,,,110.413,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040009,5081.0,5081.0,2023,2023-04-30,2023-04-30-Ingolstadt_Baggersee,,,,,109.84,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040010,5081.0,5081.0,2023,2023-05-14,2023-05-14-Landshut,,,,,115.034,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040011,5081.0,5081.0,2023,2023-07-23,2023-07-23-Ingolstadt_Baggersee,Baggersee Cup,Ingolstadt,,,114.493,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-040012,5081.0,5081.0,2023,2023-09-17,2023-09-17-Wolnzach,,,,,113.251,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
