dmv_entry_id,player_id,pass_number,year,date,tournament_id,tournament_name,location,category,place,rating_value,identity_status,source
DMV-030001,67696.0,67696.0,2024,2024-05-30,2024-05-30-Ingolstadt_Auwaldsee,,,,,103.752,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-030002,67696.0,67696.0,2024,2024-06-09,2024-06-09-Bad_Feilnbach,,,,,104.162,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-030003,67696.0,67696.0,2024,2024-06-16,2024-06-16-Straßlach,,,,,101.867,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-030004,67696.0,67696.0,2024,2024-06-23,2024-06-23-Bad_Feilnbach,Freundschaftsturnier des MGC Berg. Gladbach Gierath,Berg. Gladb. Gierath,,,104.444,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-030005,67696.0,67696.0,2024,2024-07-21,2024-07-21-Karlsfeld,Karlsfelder-See-Pokal,München,,7.0,102.449,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-030006,67696.0,67696.0,2024,2024-07-28,2024-07-28-Karlsfeld,,,,,100.301,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-030007,67696.0,67696.0,2024,2024-08-11,2024-08-11-Illertissen,,,,,106.731,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-030008,67696.0,67696.0,2024,2024-08-25,2024-08-25-München_Feldmoching,,,,,104.807,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-030009,67696.0,67696.0,2024,2024-09-08,2024-09-08-Olching,,,,,104.691,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-030010,67696.0,67696.0,2024,2024-09-15,2024-09-15-Murnau_See,50. Staffelseepokal,Murnau,,1.0,99.224,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
