dmv_entry_id,player_id,pass_number,year,date,tournament_id,tournament_name,location,category,place,rating_value,identity_status,source
DMV-120001,38509.0,38509.0,2015,2015-04-26,2015-04-26-Herten,,,,,109.199,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120002,38509.0,38509.0,2015,2015-05-10,2015-05-10-Gelsenkirchen_Bulmke,,,,,113.205,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120003,38511.0,38511.0,2015,2015-05-23,2015-05-23-Neheim_Hüsten,,,,,106.673,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120004,38512.0,38512.0,2015,2015-04-26,2015-04-26-Straßlach,,,,,106.148,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120005,38512.0,38512.0,2015,2015-05-10,2015-05-10-Karlsfeld,,,,,111.652,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120006,38512.0,38512.0,2015,2015-06-21,2015-06-21-Bad_Feilnbach,,,,,107.154,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120007,38512.0,38512.0,2015,2015-09-06,2015-09-06-Olching2,,,,,109.604,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120008,38513.0,38513.0,2015,2015-04-26,2015-04-26-Straßlach,,,,,108.815,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120009,38513.0,38513.0,2015,2015-05-10,2015-05-10-Karlsfeld,,,,,110.152,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120010,38513.0,38513.0,2015,2015-05-28,2015-05-28-Murnau_See,,,,,107.828,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120011,38513.0,38513.0,2015,2015-06-14,2015-06-14-Ottobrunn,,,,,104.722,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120012,38513.0,38513.0,2015,2015-06-21,2015-06-21-Bad_Feilnbach,,,,,105.821,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120013,38513.0,38513.0,2015,2015-10-03,2015-10-03-Kempten_Oberwang,19. Zwei-Burgen-Turnier,Weinheim,,,104.03,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120014,38515.0,38515.0,2015,2015-03-29,2015-03-29-Berlin_Lankwitz2,,,,,108.337,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120015,38515.0,38515.0,2015,2015-05-10,2015-05-10-Berlin_MärkischesViertel2,,,,,108.117,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120016,38515.0,38515.0,2015,2015-06-21,2015-06-21-Berlin_Tegel_Adelheidallee2,,,,,110.684,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120017,38515.0,38515.0,2015,2015-05-10,2015-05-10-Berlin_Reinickendorf2,,,,,108.117,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120018,38519.0,38519.0,2015,2015-03-06,2015-03-06-Celle_Halle,,,,,101.607,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120019,38519.0,38519.0,2015,2015-03-29,2015-03-29-Vellmar,,,,,104.13,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120020,38519.0,38519.0,2015,2015-04-26,2015-04-26-Northeim,,,,,104.067,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120021,38519.0,38519.0,2015,2015-05-10,2015-05-10-Göttingen,,,,,103.597,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120022,38519.0,38519.0,2015,2015-05-22,2015-05-22-Celle,,,,,101.443,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120023,38519.0,38519.0,2015,2015-08-07,2015-08-07-Peine,,,,,104.868,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120024,38519.0,38519.0,2015,2015-08-22,2015-08-22-Göttingen,,,,,104.508,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120025,38519.0,38519.0,2015,2015-08-23,2015-08-23-Lohfelden,,,,,104.592,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-120026,38519.0,38519.0,2015,2015-09-19,2015-09-19-Bad_Münder,,,,,107.588,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
