dmv_entry_id,player_id,pass_number,year,date,tournament_id,tournament_name,location,category,place,rating_value,identity_status,source
DMV-050001,67802.0,67802.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,6.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050002,67463.0,67463.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,7.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050003,67634.0,67634.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,8.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050004,67657.0,67657.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,9.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050005,67798.0,67798.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,10.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050006,67922.0,67922.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,11.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050007,67095.0,67095.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,12.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050008,67986.0,67986.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,13.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050009,67399.0,67399.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,14.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050010,67704.0,67704.0,2023,06.-08.07.2023,2023-0083-10,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,15.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050011,66765.0,66765.0,2023,06.-08.07.2023,2023-0083-12,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,1.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050012,67521.0,67521.0,2023,06.-08.07.2023,2023-0083-12,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,2.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050013,66533.0,66533.0,2023,06.-08.07.2023,2023-0083-12,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,3.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050014,66396.0,66396.0,2023,06.-08.07.2023,2023-0083-12,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,4.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050015,67604.0,67604.0,2023,06.-08.07.2023,2023-0083-12,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,5.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050016,67972.0,67972.0,2023,06.-08.07.2023,2023-0083-12,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,6.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050017,67860.0,67860.0,2023,06.-08.07.2023,2023-0083-14,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,1.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050018,67229.0,67229.0,2023,06.-08.07.2023,2023-0083-14,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,3.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050019,67714.0,67714.0,2023,06.-08.07.2023,2023-0083-14,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,4.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050020,66903.0,66903.0,2023,06.-08.07.2023,2023-0083-14,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,5.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
DMV-050021,67381.0,67381.0,2023,06.-08.07.2023,2023-0083-14,Deutsche Minigolf-Jugendmeisterschaften,Bad Münder,,6.0,,pass_verified,DMV_Teilnahmen_2015_2025_VOLLSTAENDIG
